Nom,latitude,longitude,code_postal
ARBENT,46.283607621,5.690755574,01100
VALROMEY SUR SERAN,45.918185011,5.656884824,01260
BEY,46.219516565,4.846226251,01290
BOURG ST CHRISTOPHE,45.886247155,5.143599073,01800
BRENS,45.713937941,5.689263883,01300
BRESSOLLES,45.86942733,5.101495053,01360
BRION,46.168166789,5.546506151,01460
BUELLAS,46.210586509,5.145274303,01310
CHALLEX,46.176874001,5.971497204,01630
NIVIGNE ET SURAN,46.283759087,5.426610623,01250
CHEVRY,46.283052925,6.047291131,01170
CHEZERY FORENS,46.222560403,5.872426209,01410
CRANS,45.966451737,5.195121184,01320
BRESSE VALLONS,46.324861585,5.18476155,01340
CRESSIN ROCHEFORT,45.782891957,5.765321336,01350
CULOZ,45.856261299,5.783896526,01350
DIVONNE LES BAINS,46.37578263,6.115899041,01220
DORTAN,46.313828684,5.641766262,01590
DROM,46.219911371,5.368203702,01250
DRUILLAT,46.067401882,5.292863665,01160
ECHENEVEX,46.316213201,6.019973941,01170
FAREINS,46.02127524,4.76219161,01480
FOISSIAT,46.37851841,5.184539825,01340
FRANCHELEINS,46.073642487,4.812560271,01090
GRIEGES,46.263562027,4.846595964,01290
GROISSIAT,46.226480597,5.612552487,01100
HAUTECOURT ROMANECHE,46.161413177,5.429657892,01250
PLATEAU D HAUTEVILLE,45.939605942,5.583780117,01110
HAUT VALROMEY,46.047457905,5.687540901,01260
ILLIAT,46.186478333,4.888314493,01140
INJOUX GENISSIAT,46.049881793,5.759597323,01200
JASSERON,46.214830635,5.312466653,01250
JAYAT,46.36571091,5.114295085,01340
JOYEUX,45.950086711,5.102600154,01800
LAGNIEU,45.891820194,5.329446323,01150
LOMPNAS,45.810512662,5.523048258,01680
MAGNIEU,45.778861375,5.722906834,01300
MEILLONNAS,46.245164982,5.336325687,01370
MEZERIAT,46.242427918,5.047836407,01660
MISERIEUX,45.976356834,4.810746584,01600
NURIEUX VOLOGNAT,46.183432397,5.514556814,01460
NEYRON,45.818849625,4.930893467,01700
ONCIEU,45.965268733,5.471426786,01230
OUTRIAZ,46.067320468,5.556794597,01430
PARVES ET NATTAGES,45.731042721,5.74554129,01300
PERONNAS,46.171445721,5.217695172,01960
PEYRIEU,45.676372165,5.679913666,01300
PIRAJOUX,46.38527423,5.274506777,01270
LE PLANTAY,46.022890163,5.089040398,01330
PRIAY,46.020155822,5.284298471,01160
REVONNAS,46.16166052,5.335646174,01250
STE CROIX,45.896004701,5.049282497,01120
ST DIDIER D AUSSIAT,46.307401075,5.058557969,01340
ST DIDIER DE FORMANS,45.956574243,4.777830037,01600
ST GERMAIN LES PAROISSES,45.770985934,5.617843193,01300
ST LAURENT SUR SAONE,46.305955379,4.840156546,01750
ST MARTIN DU FRENE,46.136010859,5.571551452,01430
ST MARTIN DU MONT,46.106037536,5.32566619,01160
ST MARTIN LE CHATEL,46.291122506,5.122470045,01310
ST MAURICE DE GOURDANS,45.819991522,5.170225884,01800
ST MAURICE DE REMENS,45.953056847,5.27042503,01500
ST NIZIER LE BOUCHOUX,46.452669456,5.17552541,01560
ST PAUL DE VARAX,46.09554189,5.127602048,01240
ST REMY,46.184238339,5.167708731,01310
ST TRIVIER DE COURTES,46.461440157,5.066523976,01560
ST TRIVIER SUR MOIGNANS,46.061773631,4.900835837,01990
SAMOGNAT,46.264289324,5.585536911,01580
SAUVERNY,46.312789714,6.110162402,01220
SONTHONNAX LA MONTAGNE,46.224174368,5.50662267,01580
TRAMOYES,45.874577226,4.964145309,01390
VERNOUX,46.484922126,5.105684134,01560
VIEU D IZENAVE,46.085226859,5.549465493,01430
VILLES,46.095438878,5.7578721,01200
ARVIERE EN VALROMEY,45.916294208,5.735432914,01260
VONNAS,46.216716077,4.997308805,01540
AISONVILLE ET BERNOVILLE,49.930322863,3.511399522,02110
ALLEMANT,49.46254392,3.453354876,02320
ANIZY LE GRAND,49.516096173,3.453032228,02320
ASSIS SUR SERRE,49.680564098,3.554556194,02270
AUBENTON,49.825326551,4.190262816,02500
AUDIGNICOURT,49.477827569,3.127371805,02300
BARENTON CEL,49.647693941,3.645155045,02000
BARZY EN THIERACHE,50.039756081,3.749280061,02170
VALLEES EN CHAMPAGNE,49.007940641,3.616555648,02330
BEAUMONT EN BEINE,49.687873482,3.131935625,02300
BEAUTOR,49.648276469,3.338127887,02800
BELLICOURT,49.959346714,3.23015235,02420
BERNY RIVIERE,49.411377922,3.149880705,02290
BERTHENICOURT,49.778621574,3.372640357,02240
BESNY ET LOIZY,49.592419464,3.577165472,02870
BETHANCOURT EN VAUX,49.629077416,3.140744432,02300
BEUVARDES,49.130704921,3.491652186,02130
BEZU ST GERMAIN,49.104822187,3.40829274,02400
BILLY SUR OURCQ,49.22143232,3.298949745,02210
BLANZY LES FISMES,49.336973064,3.671446859,02160
BONCOURT,49.626439946,3.956108855,02350
BRAINE,49.348518224,3.536763117,02220
BRANCOURT LE GRAND,49.980556024,3.394377197,02110
BRISSAY CHOIGNY,49.722999325,3.397153709,02240
BRUYS,49.261914887,3.568519675,02220
BUCILLY,49.866351037,4.09342038,02500
BUCY LES CERNY,49.579101939,3.496606176,02870
BUCY LES PIERREPONT,49.646348774,3.903113266,02350
BUSSIARES,49.076557021,3.250333474,02810
LE CATELET,50.000988906,3.24317682,02420
CAUMONT,49.637686756,3.172916368,02300
CERIZY,49.766172395,3.32359533,02240
CERNY LES BUCY,49.577784884,3.5462474,02870
CERSEUIL,49.324498852,3.517425473,02220
CHALANDRY,49.670262121,3.644556987,02270
CHAMPS,49.54391254,3.261593233,02670
CHARLY SUR MARNE,48.987508694,3.292271602,02310
CHARTEVES,49.089938422,3.50886325,02400
CHAUDARDES,49.396446073,3.789258777,02160
CHAVIGNON,49.479022495,3.518689564,02000
